city,pop2020,pop2010,state,land area,pop change,pop density 2020,pop density 2010
New York,8253213,8175133,NY,301.5,0.9550914951475408,27373.8407960199,27114.868988391376
Los Angeles,3970219,3792621,CA,468.7,4.682724690919551,8470.704075101345,8091.787924045232
Chicago,2677643,2695598,IL,227.3,-0.6660859668244301,11780.215574131103,11859.208095028596
Houston,2316120,2100263,TX,637.5,10.277617612651369,3633.1294117647058,3294.5301960784313
Phoenix,1708127,1445632,AZ,517.6,18.157802262263147,3300.090803709428,2792.9520865533227
Philadelphia,1578487,1526006,PA,134.2,3.4391083652357852,11762.198211624442,11371.13263785395
San Antonio,1567118,1327407,TX,461.0,18.058590922000562,3399.3882863340564,2879.407809110629
San Diego,1422420,1307402,CA,325.2,8.79744715091456,4373.985239852399,4020.3013530135304
Dallas,1343266,1197816,TX,340.9,12.142933472252833,3940.3520093869174,3513.6872983279554
San Jose,1013616,945942,CA,177.5,7.154138414405957,5710.512676056338,5329.250704225352
